id,name,party,position,state,state_id,district,district_id,state_district,incumbency,sv_pp,ine_profile,age,sex,webpage,social_media,prop_1,prop_2,prop_gender,ine_pp,sv_d,ine_d,webpage_d,social_media_d,facebook,instagram,twitter,youtube,tiktok,pan,pri,prd,pvem,pt,mc,morena,pan_pri_prd,pan_pri,pan_prd,pri_prd,pvem_pt_morena,pvem_pt,pvem_morena,pt_morena,total_counted,total_registered,earned_votes,prop_votes,prop_participation,win
10danipve,daniel gutierrez castorena,pvem_pt_morena,sen,aguascalientes,1,no aplica,0,1_0,1,https://datacenter.sabervotar.mx/public/images/candidatos/1795799751-T-1711248995.jpg,https://candidaturas.ine.mx/detalleCandidato/1883/2,69,m,NA,"https://www.facebook.com/danielgtzags/, https://twitter.com/danielgtzags, https://www.instagram.com/danielgutierrezc_/?igsh=mmk0dwq4awplndmw","en primer término, la transformación legislativa para lograr mejores condiciones de vida para la población más pobre del país, a través de reformas en materia de salud, educación, vivienda y oportunidades de trabajo, mediante la actividad legislativa que permita seguir combatiendo la desigualdad social que existe en méxico.","la transformación legislativa para lograr mejores condiciones de vida para la población más pobre del país, a través de reformas en materia de salud, educación, vivienda y oportunidades de trabajo; y en segundo lugar, mediante la actividad legislativa que permita seguir combatiendo la desigualdad social que existe en méxico.","en primer término, la transformación legislativa para lograr mejores condiciones de vida para la población más pobre del país, a través de reformas en materia de salud, educación, vivienda y oportunidades de trabajo; y en segundo lugar, mediante la actividad legislativa que permita seguir combatiendo la desigualdad social que existe en méxico.",https://candidaturas.ine.mx/cycc/img/fotocandidato/1883.jpg,1,1,0,1,https://www.facebook.com/danielgtzags/,https://www.instagram.com/danielgutierrezc_/?igsh=mmk0dwq4awplndmw,https://twitter.com/danielgtzags,NA,NA,281800,45446,14398,21294,14967,44686,198024,9400,3692,607,114,8132,664,2019,1671,664482,1099895,246771,0.3713734909297769,0.6041322126202956,0
10jorgmc,jorge armando narvaez narvaez,mc,sen,aguascalientes,1,no aplica,0,1_0,0,https://datacenter.sabervotar.mx/public/images/candidatos/894870851-T-1710785170.jpg,https://candidaturas.ine.mx/detalleCandidato/80/2,49,m,NA,"https://www.facebook.com/jorgenarvaezsenador/, https://www.instagram.com/jorgeanarvaezn?igsh=zgrzzhl5mgsxyjjh, https://www.tiktok.com/@jorgennarvaez?_t=8kjwcpilnc2&_r=1","1.) agua. creando leyes que la protejan y que aseguren su mejor uso en el consumo humano, el campo y el desarrollo económico sostenible. 2.) salud y seguridad social. asegurando con las leyes que se garantice el acceso a servicios médicos de calidad para ti y los tuyos, con médicos, medicinas y hospitales dignos para todos. 3.) seguridad y construcción de paz. creando leyes que aseguren la acción contundente del estado en el combate a la delincuencia, porque todos estamos hartos de la inseguridad y de vivir con miedo. 4.) campo. aplicando toda su experiencia y liderazgo en el tema, creando leyes que aseguren las mejores condiciones para el campo y los productores, que den un nuevo aire a la tierra y a la agroindustria. 5.) educación. creando el marco legislativo integral que promueva y garantice un enfoque moderno y competitivo de la educación, que arme de habilidades a nuestros niños y jóvenes para que puedan vivir satisfechos en un mundo cada vez más competitivo.","6.) mejor impartición de justicia. promoviendo con las leyes que se persiga a la delincuencia, que se castigue efectivamente a los culpables, y que se agilicen los juicios de gente que se puede presumir inocente y tiene años en cárcel en espera de veredicto. 7.) vivienda digna y asequible. generando propuestas de ley que hagan más fácil la adquisición de vivienda por parte de millones de mexicanos que no tienen un hogar propio. 8.) acción climática, naturaleza y medio ambiente. promoviendo un marco legal que proteja los ecosistemas y especies amenazados, así como los métodos de producción en el campo y la ciudad, que son más equilibrados con el medio ambiente y más amigables con un desarrollo sostenible, con el empleo intensivo de energías limpias. 9.) apoyo a mipymes. fortaleciendo desde las leyes el desarrollo de estas empresas que son el corazón económico de méxico. 10.) juventud y cultura. creando las leyes que faciliten a nuestros jóvenes acceder a bienes y servicios culturales, aprovechando las tecnologías de información y apoyando la economía de los creadores y promotores de cultura de méxico.","derechos de las mujeres: continuar con las agendas de: igualdad salarial, eliminación de los impuestos sexistas, justicia laboral, erradicación del acoso y violencia laborales. garantizar la paridad en los puestos de alto mando y de primer nivel en la administración pública; y promover la participación real de las mujeres en los órganos directivos del sector privado.",https://candidaturas.ine.mx/cycc/img/fotocandidato/80.jpg,1,1,0,1,https://www.facebook.com/jorgenarvaezsenador/,https://www.instagram.com/jorgeanarvaezn?igsh=zgrzzhl5mgsxyjjh,NA,NA,https://www.tiktok.com/@jorgennarvaez?_t=8kjwcpilnc2&_r=1,281800,45446,14398,21294,14967,44686,198024,9400,3692,607,114,8132,664,2019,1671,664482,1099895,44686,0.0672493762058265,0.6041322126202956,0
10juanpan,juan antonio martin del campo martin del campo,pan_pri_prd,sen,aguascalientes,1,no aplica,0,1_0,0,https://datacenter.sabervotar.mx/public/images/candidatos/1533105985-T-1711245728.jpg,https://candidaturas.ine.mx/detalleCandidato/198/2,52,m,NA,NA,"entre las propuestas del candidato al senado de la república destaca el apoyo para llevar a cabo el programa nacional de apoyo a las mujeres y madres trabajadoras con transferencias monetarias, la promoción de la igualdad salarial, el fomento del teletrabajo y horarios flexibles, y el apoyo a mujeres emprendedoras mediante financiamiento y formación. con esto se busca mejorar la inserción laboral de las mujeres y fomentar su independencia económica.","así como el impulso para aplicar nuevas energías como paneles solares y cambios en el subsidio que otorga la comisión federal eléctrica (cfe) para que en cada vivienda se utilicen este tipo de energías renovables y el costo que cada familia pague sea mucho menor al actual. propone, además que la titulación de todos los estudiantes a nivel profesional no tenga ningún costo esto para fortalecer que los estudiantes y sus padres tengan garantizado el título profesional gratuito. implementar un programa para tener auto sustentabilidad del agua, proyecto con el cual se da mayor vida útil a este preciado líquido el cual cada vez es más escaso y costoso obtener para llevarlo a cada hogar. así como el impulso para aplicar nuevas energías como paneles solares y cambios en el subsidio que otorga la comisión federal eléctrica (cfe) para que en cada vivienda se utilicen este tipo de energías renovables y el costo que cada familia pague sea mucho menor al actual. propone, además que la titulación de todos los estudiantes a nivel profesional no tenga ningún costo esto para fortalecer que los estudiantes y sus padres tengan garantizado el título profesional gratuito. implementar un programa para tener auto sustentabilidad del agua, proyecto con el cual se da mayor vida útil a este preciado líquido el cual cada vez es más escaso y costoso obtener para llevarlo a cada hogar. así como el impulso para aplicar nuevas energías como paneles solares y cambios en el subsidio que otorga la comisión federal eléctrica (cfe) para que en cada vivienda se utilicen este tipo de energías reno","así como el impulso para aplicar nuevas energías como paneles solares y cambios en el subsidio que otorga la comisión federal eléctrica (cfe) para que en cada vivienda se utilicen este tipo de energías renovables y el costo que cada familia pague sea mucho menor al actual. propone, además, que la titulación de todos los estudiantes a nivel profesional no tenga ningún costo, esto para fortalecer que los estudiantes y sus padres tengan garantizado el título profesional gratuito. implementar un programa para tener autosustentabilidad del agua, proyecto con el cual se da mayor vida útil a este preciado líquido, el cual cada vez es más escaso y costoso obtener para llevarlo a cada hogar. así como el impulso para aplicar nuevas energías como paneles solares y cambios en el subsidio que otorga la comisión federal eléctrica (cfe) para que en cada vivienda se utilicen este tipo de energías renovables y el costo que cada familia pague sea mucho menor al actual. propone, además, que la titulación de todos los estudiantes a nivel profesional no tenga ningún costo, esto para fortalecer que los estudiantes y sus padres tengan garantizado el título profesional gratuito. implementar un programa para tener autosustentabilidad del agua, proyecto con el cual se da mayor vida útil a este preciado líquido, el cual cada vez es más escaso y costoso obtener para llevarlo a cada hogar. así como el impulso para aplicar nuevas energías como paneles solares y cambios en el subsidio que otorga la comisión federal eléctrica (cfe) para que en cada vivienda se utilicen este tipo de energías renovables.",https://candidaturas.ine.mx/cycc/img/fotocandidato/198.jpg,1,1,0,0,NA,NA,NA,NA,NA,281800,45446,14398,21294,14967,44686,198024,9400,3692,607,114,8132,664,2019,1671,664482,1099895,355457,0.5349384934430128,0.6041322126202956,1
10maripan,maria de jesus diaz marmolejo,pan_pri_prd,sen,aguascalientes,1,no aplica,0,1_0,0,https://datacenter.sabervotar.mx/public/images/candidatos/1066726993-T-1711246817.jpg,https://candidaturas.ine.mx/detalleCandidato/171/2,57,f,NA,"https://www.facebook.com/chuyadiazsenadoradeprimera, https://www.twitter.com/chuya_diaz, https://www.instagram.com/chuyadiazags, https://www.tiktok.com/chuya_diaz","el acceso a guarderías, el cuidado al embarazo y erradicar la violencia contra las mujeres mediante programas de seguridad e información de sus derechos. un nuevo pacto fiscal. de una reforma constitucional para que la federación recompense la productividad y cumplimiento de los estados y municipios. el desarrollo de infraestructura pública corresponde a las necesidades de las poblaciones y no a los intereses partidistas o imposiciones del gobernante. se debe atender la nueva realidad para la competitividad del país y a la dinámica de crecimiento que experimentará el mundo en el presente y futuro. el campo requiere de más apoyo. adaptarlo a las condiciones climáticas y a la nueva demanda de productos. créditos suficientes, más tecnología y una mejor organización. los campesinos paguen menos impuestos y que su actividad sea segura en todo sentido, tanto en la producción de cosechas como en evitar que sean víctimas de la delincuencia.","asegurar la permanencia de estudiantes del nivel básico, volver a la educación de calidad y establecer las reglas para que los contenidos educativos estén ajenos de ideologías. la profesionalización de maestras y maestros y su necesidad de desempeñar sus funciones en espacios educativos dignos. para el país, el seguro popular, considerando que imss bienestar no ha sido ni suficiente ni eficiente ni parejo. el abasto de medicamentos mediante la identificación y surtimiento oportuno, de acuerdo con las necesidades reales de cada estado del país. programas que identifiquen de manera temprana enfermedades y dar énfasis a la prevención y tratamiento del cáncer, así como del corazón y diabetes.","la migración debe ser atendida en el país con humanidad. para los mexicanos en el extranjero, es necesario que cuenten con representaciones que atiendan sus necesidades y, faciliten sus trámites; que las instancias brinden apoyos para quienes decidan invertir sus ahorros en el país sean acompañados para que tengan mejores resultados, que se faciliten el reencuentro de las familias mexicanas en el extranjero, debemos brindar los mecanismos internacionales para que esto sea una constante en el derecho y la relación bilateral entre ambos países.",https://candidaturas.ine.mx/cycc/img/fotocandidato/171.jpg,1,1,0,1,https://www.facebook.com/chuyadiazsenadoradeprimera,https://www.instagram.com/chuyadiazags,NA,NA,https://www.tiktok.com/chuya_diaz,281800,45446,14398,21294,14967,44686,198024,9400,3692,607,114,8132,664,2019,1671,664482,1099895,355457,0.5349384934430128,0.6041322126202956,1
10norapve,nora ruvalcaba gamez,pvem_pt_morena,sen,aguascalientes,1,no aplica,0,1_0,0,https://datacenter.sabervotar.mx/public/images/candidatos/1531429614-T-1711247467.jpg,https://candidaturas.ine.mx/detalleCandidato/1790/2,56,f,NA,"https://www.facebook.com/noraruvalcabamx, https://www.instagram.com/nora.ruvalcaba?igsh=adznewtmyw8wcxg4&utm_source=qr, https://www.youtube.com/@noraruvalcabagamez2309",NA,NA,no proporcionó,https://candidaturas.ine.mx/cycc/img/fotocandidato/1790.jpg,1,1,0,1,https://www.facebook.com/noraruvalcabamx,https://www.instagram.com/nora.ruvalcaba?igsh=adznewtmyw8wcxg4&utm_source=qr,NA,https://www.youtube.com/@noraruvalcabagamez2309,NA,281800,45446,14398,21294,14967,44686,198024,9400,3692,607,114,8132,664,2019,1671,664482,1099895,246771,0.3713734909297769,0.6041322126202956,0
10saramc,sara imelda miranda rodriguez,mc,sen,aguascalientes,1,no aplica,0,1_0,0,https://datacenter.sabervotar.mx/public/images/candidatos/1652980191-T-1711241160.jpg,https://candidaturas.ine.mx/detalleCandidato/9/2,50,f,NA,"https://www.facebook.com/saramiranda.senadora/, https://twitter.com/sm_senadora, https://www.instagram.com/saramiranda.senadora/, https://www.tiktok.com/@saramiranda.senadora","tecnología e innovación. adopción de tecnologías innovadoras incentivar la investigación y adopción de nuevas tecnologías en la gestión del agua, como sistemas de captación de agua de lluvia, desalinización, tratamiento avanzado de aguas residuales, y sistemas inteligentes de gestión de agua. implementación y monitoreo para garantizar el éxito de estas iniciativas, es crucial establecer mecanismos de seguimiento y evaluación que permitan medir el impacto de las acciones implementadas y ajustar la estrategia según sea necesario. esto incluye el establecimiento de indicadores de desempeño, revisiones periódicas del plan maestro y la adaptación a los cambios en el contexto climático y socioeconómico. legislación y política pública: marco regulatorio. desarrollar o fortalecer el marco regulatorio para la gestión sostenible del agua, incluyendo normativas para el reúso seguro del agua, la protección de fuentes de agua, y la promoción de prácticas sostenibles. incentivos y subsidios. establecer incentivos económicos y subsidios para apoyar la adopción de tecnologías y prácticas que promuevan el uso eficiente del agua y el reúso. educación y participación ciudadana. campañas de concienciación: hacer campañas educativas dirigidas a la población en general para promover el ahorro del agua y la importancia de proteger los recursos hídricos. participación ciudadana: fomentar la participación de la comunidad en la gestión del agua a través de comités de agua, programas de vigilancia y reporte de fugas y consultas públicas sobre proyectos hídricos.","como candidata al senado de la república, me comprometo a liderar una agenda integral de género que promueva la equidad y el empoderamiento de todas las personas, sin importar su identidad de género. mujeres empresarias y emprendedoras fondo de apoyo para emprendedoras: crear un fondo especial que provea capital semilla, subsidios y créditos a tasas preferenciales para proyectos liderados por mujeres. este fondo también podría ofrecer mentorías y formación en habilidades empresariales. red de mentoras: establecer una red de mentoras exitosas en distintos sectores, que puedan guiar y asesorar a mujeres que están empezando sus propios negocios o quieren hacer crecer uno existente. economía con perspectiva de género: impulsaré políticas económicas que promuevan la igualdad de oportunidades y la eliminación de la brecha salarial entre géneros. esto incluye fomentar el emprendimiento y la participación de las mujeres en sectores económicos clave, así como garantizar condiciones laborales justas y seguras para todas las trabajadoras. acceso a la salud integral: trabajaré por garantizar el acceso universal a servicios de salud integral para todas las personas, con especial atención en las necesidades de salud sexual y reproductiva de las mujeres. esto incluye el acceso gratuito a métodos anticonceptivos, servicios de atención prenatal y posnatal de calidad, así como la atención integral a víctimas de violencia de género. educación en igualdad: propondré políticas públicas orientadas a promover una educación en igualdad de género, desde la primera infancia hasta la educación.","madres de familia y mamás solteras. guarderías subsidiadas. ampliar la red de guarderías subsidiadas y de calidad, con horarios flexibles para apoyar a las madres trabajadoras y solteras, permitiéndoles participar en el mercado laboral o en la educación sin preocuparse por el cuidado de sus hijos. programas de capacitación laboral: ofrecer programas de capacitación laboral y actualización profesional para madres de familia que deseen reintegrarse al mercado laboral o mejorar su situación laboral. mujeres estudiantes: becas para mujeres en ciencias y tecnología. establecer un programa de becas para mujeres que deseen estudiar carreras en áreas de ciencias, tecnología, ingeniería y matemáticas, para promover su participación en estos campos. apoyo a madres estudiantes: proporcionar apoyos específicos para mujeres estudiantes que sean madres, como guarderías en instituciones educativas, horarios flexibles y opciones de educación a distancia. mujeres trabajadoras: igualdad salarial. promover leyes y regulaciones que aseguren la igualdad salarial por trabajo de igual valor entre hombres y mujeres, y establecer mecanismos de fiscalización y sanción para las empresas que incumplan. protección: protección contra la violencia y acoso laboral. fortalecer las leyes y políticas para prevenir y sancionar la violencia y el acoso laboral y sexual, asegurando entornos de trabajo seguros para las mujeres. transversales a todos los grupos: centros de atención integral para mujeres. crear centros que ofrezcan servicios integrados para mujeres, incluyendo asesoría legal, apoyo psicológico, etc",https://candidaturas.ine.mx/cycc/img/fotocandidato/9.jpg,1,1,0,1,https://www.facebook.com/saramiranda.senadora/,https://www.instagram.com/saramiranda.senadora/,https://twitter.com/sm_senadora,NA,https://www.tiktok.com/@saramiranda.senadora,281800,45446,14398,21294,14967,44686,198024,9400,3692,607,114,8132,664,2019,1671,664482,1099895,44686,0.0672493762058265,0.6041322126202956,0
20armamor,armando ayala robles,morena,sen,baja california,2,no aplica,0,2_0,0,https://datacenter.sabervotar.mx/public/images/candidatos/1800044763-T-1711413219.jpg,https://candidaturas.ine.mx/detalleCandidato/57251/2,47,m,NA,"https://www.facebook.com/armandoayalarobles, https://twitter.com/armandoayalarob, https://www.instagram.com/armandoayalaroblesoficial/, https://www.youtube.com/@armandoayalarobles3067","en materia de salud, trabajar por la atención médica universal gratuita para todos los ciudadanos y en todos los rincones del país, que la calidad de vida de las familias no se vea afectadas por la enfermedad o la falta de medicamentos, que estos sean de fácil o pronto acceso sin importar su nivel socioeconómico o donde vivan (desde la sierra hasta la ciudad, todos gocen de salud).","en lo laboral, todos puedan disfrutar de los frutos de su trabajo, contar con casa propia producto de su esfuerzo y que sean dignas para vivir, así como también contar una buena forma de retiro para vivir una vejez merecida. pero, sobre todo, que todos tengan las mismas oportunidades laborales y de crecimiento, que nadie se quede atrás.","en materia de género, busco realizar un cambio en cuando a las reformas laborales con las mujeres trabajadoras, mayores oportunidades laborales y de crecimiento profesional y político. sobre sus horarios laborales, que no tengan que sacrificar el tiempo con sus hijos por conseguir el pan de cada día, y que sus hijos cuenten con un lugar seguro para desarrollar su niñez.",https://candidaturas.ine.mx/cycc/img/fotocandidato/57251.jpg,1,1,0,1,https://www.facebook.com/armandoayalarobles,https://www.instagram.com/armandoayalaroblesoficial/,https://twitter.com/armandoayalarob,https://www.youtube.com/@armandoayalarobles3067,NA,226913,65223,15028,160834,77496,129202,784547,9022,2964,354,133,0,0,0,0,1557767,3201669,784547,0.5036356528286965,0.48654842208860444,1
20davimc,david saul guakil,mc,sen,baja california,2,no aplica,0,2_0,0,https://datacenter.sabervotar.mx/public/images/candidatos/1785792171-T-1711406882.jpg,https://candidaturas.ine.mx/detalleCandidato/117653/2,60,m,NA,NA,NA,NA,NA,https://candidaturas.ine.mx/cycc/img/fotocandidato/117653.jpg,1,0,0,0,NA,NA,NA,NA,NA,226913,65223,15028,160834,77496,129202,784547,9022,2964,354,133,0,0,0,0,1557767,3201669,129202,0.08294051677818313,0.48654842208860444,0
20doramc,dora argelia nuñez garcia,mc,sen,baja california,2,no aplica,0,2_0,0,https://datacenter.sabervotar.mx/public/images/candidatos/280162928-T-1711408109.jpg,https://candidaturas.ine.mx/detalleCandidato/974/2,46,f,NA,NA,NA,NA,NA,https://candidaturas.ine.mx/cycc/img/fotocandidato/974.jpg,1,0,0,0,NA,NA,NA,NA,NA,226913,65223,15028,160834,77496,129202,784547,9022,2964,354,133,0,0,0,0,1557767,3201669,129202,0.08294051677818313,0.48654842208860444,0
20guadpan,guadalupe gutierrez fregozo,pan_pri_prd,sen,baja california,2,no aplica,0,2_0,0,https://datacenter.sabervotar.mx/public/images/candidatos/1799217540-T-1711329760.jpg,https://candidaturas.ine.mx/detalleCandidato/572/2,65,f,NA,"https://www.facebook.com/lupitagutierrezmxl, https://www.instagram.com/lupitagutierrezmxl/","apoyar a las pymes, hoy en día los jóvenes buscan emprender, ser sus propios dueños de negocio y así también dar oportunidad de generar más empleos a otras personas, en los últimos años muchos apoyos se han recortado, muchas empresas han tenido que cerrar, mi objetivo es regresar a ese modelo de pymes, otorgar créditos, mediante una presentación de proyecto.","al aumentar el apoyo al sector salud, a hospitales, residentes, con una mejor remuneración que esté acorde a su cargo, y acorde a la prestación de horas de servicio en el hospital, que cada año de residencia se aumente un porcentaje, . los médicos, y enfermeras son una de las fuerzas en nuestro país y en la vida diaria de toda la población.","los migrantes, mi propuesta es seguir con los albergues que funcionaban y se han tenido que cerrar a causa de falta de recursos, en baja california por ser frontera terminan llegando personas del sur del país, migrantes de centro américa que al no tener vivienda, papeles, y mucho menos trabajo provoca que se queden deambulando en las calles, sin tener un sustento para comer o donde pasar la noche.",https://candidaturas.ine.mx/cycc/img/fotocandidato/572.jpg,1,1,0,1,https://www.facebook.com/lupitagutierrezmxl,https://www.instagram.com/lupitagutierrezmxl/,NA,NA,NA,226913,65223,15028,160834,77496,129202,784547,9022,2964,354,133,0,0,0,0,1557767,3201669,319637,0.20518922277850282,0.48654842208860444,0
20gustpan,gustavo sanchez vasquez,pan_pri_prd,sen,baja california,2,no aplica,0,2_0,0,https://datacenter.sabervotar.mx/public/images/candidatos/1250973635-T-1711322050.jpg,https://candidaturas.ine.mx/detalleCandidato/173/2,60,m,NA,NA,"apoyar a los empresarios de las micro, pequeñas y medianas empresas a que sus negocios crezcan otorgándoles financiamiento para que de esta forma se generen más fuentes de empleo para todas y todos los mexicanos, convirtiendo a méxico en un país donde todas y todos puedan tener una mejor calidad de vida.","en materia de seguridad, garantizar que toda la ciudadanía se sienta segura de transitar por las calles de todo el país, que retomen la confianza en las autoridades e instituciones, así como aumentar ingresos de los elementos de seguridad ciudadana para evitar que siga la mala práctica en la que se corrompe a dichas autoridades.","en cuanto a materia de género, impulsar los emprendimientos desarrollados por las mujeres mexicanas, otorgar apoyos económicos a todas aquellas que deseen tener su propio negocio, así de esta forma se incrementa su participación en la economía mexicana, procurando que todos los empleos informales dejen de serlo.",https://candidaturas.ine.mx/cycc/img/fotocandidato/173.jpg,1,1,0,0,NA,NA,NA,NA,NA,226913,65223,15028,160834,77496,129202,784547,9022,2964,354,133,0,0,0,0,1557767,3201669,319637,0.20518922277850282,0.48654842208860444,0
20jaimpt,jaime bonilla valdez,pt,sen,baja california,2,no aplica,0,2_0,1,https://datacenter.sabervotar.mx/public/images/candidatos/1275350117-T-1711330492.jpg,https://candidaturas.ine.mx/detalleCandidato/978/2,73,m,https://partidodeltrabajo.com.mx/,"https://www.facebook.com/ptnacionalmx, https://twitter.com/ptnacionalmx?ref_src=twsrc5egoogle7ctwcamp5eserp7ctwgr5eauthor, https://www.instagram.com/ptnacionalmx/, https://www.youtube.com/@partidodeltrabajo4783","trabajaré en garantizar y preservar la paz, salvaguardando la integridad física y patrimonial de las personas que habitan y transitan en mi estado e implementando medidas para la prevención de la comisión de delitos, así como garantizar el derecho a la convivencia pacífica y solidaria. por ello, creemos importante el bienestar de las comunidades para tener una convivencia sana y en armonía.","propondré y garantizaré la preservación de la seguridad ciudadana, no solo física, sino también patrimonial, y de la mano implementar medidas de prevención de la comisión de delitos; así como garantizar el derecho a la convivencia pacifica y solidaria. buscaré que las calles que transiten los ciudadanos y ciudadanas estén iluminadas para que con estas medidas se sientan más seguros.","promover programas de capacitación para mujeres en oficios no tradicionales y para el desarrollo de aquellas que habitan en el medio rural.	introducir el derecho de las mujeres a la tenencia de la tierra en la propiedad ejidal; igual que los varones, derecho a asesoría, capacitación técnica y acceso a insumos y créditos.",https://candidaturas.ine.mx/cycc/img/fotocandidato/978.jpg,1,1,1,1,https://www.facebook.com/ptnacionalmx,https://www.instagram.com/ptnacionalmx/,https://twitter.com/ptnacionalmx?ref_src=twsrc5egoogle7ctwcamp5eserp7ctwgr5eauthor,https://www.youtube.com/@partidodeltrabajo4783,NA,226913,65223,15028,160834,77496,129202,784547,9022,2964,354,133,0,0,0,0,1557767,3201669,77496,0.049748133064829336,0.48654842208860444,0
20janept,janeth raquel tapia barrera,pt,sen,baja california,2,no aplica,0,2_0,0,https://datacenter.sabervotar.mx/public/images/candidatos/133391280-T-1711331399.jpg,https://candidaturas.ine.mx/detalleCandidato/1053/2,43,f,NA,NA,"impulsar la producción de medicamentos básicos dentro del país, para que se garantice el abastecimiento de medicamentos de enfermedades y tratamiento contra el cáncer. fomentar la creación de empleos dignos enfocados a personas con discapacidad, mujeres y jóvenes en situación de vulnerabilidad, esto a través de alianzas entre las empresas y el gobierno.",los jóvenes tienen derecho a estar representados en los ámbitos de toma de decisiones y ocupar un puesto público les permite ser la voz de su generación y abogar por sus intereses y preocupaciones. compromiso cívico: participar en la vida política y pública es una forma importante de comprometerse con la comunidad y contribuir al bienestar colectivo.,"presentar, durante el tercer periodo ordinario de sesión, una iniciativa de ley para eliminar la brecha salarial de género, promoviendo la igualdad de remuneración económica por trabajo de igual valor; para fomentar la participación equitativa de mujeres y personas de género diversos en todos los niveles de la jerarquía laboral para garantizar los derechos de estos grupos vulnerables.",https://candidaturas.ine.mx/cycc/img/fotocandidato/1053.jpg,1,1,0,0,NA,NA,NA,NA,NA,226913,65223,15028,160834,77496,129202,784547,9022,2964,354,133,0,0,0,0,1557767,3201669,77496,0.049748133064829336,0.48654842208860444,0
20juanpve,juan carlos hank krauss,pvem,sen,baja california,2,no aplica,0,2_0,0,https://datacenter.sabervotar.mx/public/images/candidatos/1452261825-T-1711333006.jpg,https://candidaturas.ine.mx/detalleCandidato/131711/2,36,m,NA,"https://www.facebook.com/juancarloshankoficial, https://twitter.com/juancarlos_hank","bienestar animal: leyes que realmente castiguen el maltrato y crueldad animal y proyectos de protección a la fauna. seguridad hídrica y sustentabilidad: agua garantizada para la siguiente generación. movilidad: ciudades sustentables y corredores verdes. derecho a la salud y turismo médico. nearshoring y seguridad económica regional. desarrollo para los que vienen y los que ya estamos aquí. equidad de género, igualdad. leyes que hagan que se cumpla. migración: redefinamos la frontera.","bienestar animal: leyes que realmente castiguen el maltrato y crueldad animal y proyectos de protección a la fauna. seguridad hídrica y sustentabilidad: agua garantizada para la siguiente generación. movilidad: ciudades sustentables y corredores verdes. derecho a la salud y turismo médico. nearshoring y seguridad económica regional. desarrollo para los que vienen y los que ya estamos aquí. equidad de género, igualdad. leyes que hagan que se cumpla. migración: redefinamos la frontera.","como senador, me comprometo a dedicar cada esfuerzo y acción posible para transformar la percepción de baja california, alejándonos de la idea de ser simplemente un punto de tránsito para migrantes o un área recreativa, y resaltando nuestra verdadera identidad como una región con una economía vibrante y una población altamente trabajadora y talentosa. estoy comprometido/a en trabajar incansablemente para impulsar el desarrollo y el crecimiento de nuestra comunidad, promoviendo oportunidades de empleo, inversión y prosperidad para todos los residentes de baja california.",https://candidaturas.ine.mx/cycc/img/fotocandidato/131711.jpg,1,1,0,1,https://www.facebook.com/juancarloshankoficial,NA,https://twitter.com/juancarlos_hank,NA,NA,226913,65223,15028,160834,77496,129202,784547,9022,2964,354,133,0,0,0,0,1557767,3201669,160834,0.10324650605642564,0.48654842208860444,0
20julimor,julieta andrea ramirez padilla,morena,sen,baja california,2,no aplica,0,2_0,0,https://datacenter.sabervotar.mx/public/images/candidatos/1346822387-T-1711411244.jpg,https://candidaturas.ine.mx/detalleCandidato/2106/2,29,f,https://julietaramirez.mx/,"https://www.facebook.com/julietaramirezp?locale=es_la, https://twitter.com/julietaramirezp, https://www.instagram.com/julietaramirezp/, https://www.youtube.com/@julietaramirezp, https://www.tiktok.com/@julietaramirezp","realizar el impulso de reformas constitucionales, de manera que se reflejen en la implementación del modelo de la austeridad en los tres poderes de la unión, así como en los tres niveles de gobierno, lo que desencadene que se refleje en los órganos constitucionales autónomos y se pongan en marcha para todos en general.","realizar no solo el impulso de leyes en materia de bienestar social, sino también en la implementación de un programa de bienestar animal, empezando con la atención a las mascotas de compañía, a las mascotas en ámbitos laborales o a las mascotas de seguridad dentro del primer periodo legislativo.","trabajar en una reforma que impulse la paridad de género en todos los sectores de la sociedad, así como, una reforma que prohíba la discriminación de las y los jóvenes en el acceso a las universidades, centros deportivos o de libre acceso, esperando con esto sea presentado en el segundo periodo legislativo.",https://candidaturas.ine.mx/cycc/img/fotocandidato/2106.jpg,1,1,1,1,https://www.facebook.com/julietaramirezp?locale=es_la,https://www.instagram.com/julietaramirezp/,https://twitter.com/julietaramirezp,https://www.youtube.com/@julietaramirezp,https://www.tiktok.com/@julietaramirezp,226913,65223,15028,160834,77496,129202,784547,9022,2964,354,133,0,0,0,0,1557767,3201669,784547,0.5036356528286965,0.48654842208860444,1
